County,2016_count,2016_pct,2015_count,2015_pct,2014_count,2014_pct,2013_count,2013_pct,2012_count,2012_pct,2011_count,2011_pct,2010_count,2010_pct,2009_count,2009_pct,2008_count,2008_pct,2007_count,2007_pct
Alachua,2502,93.8,2484,92.8,2433,88.5,2423,90.3,2223,89,2252,88.8,2154,87,2207,93.8,2341,96.8,2378,95.9
Baker,353,98.6,375,95.7,418,97.2,421,99.3,392,98.2,399,97.8,445,98,397,98.8,431,99.1,454,98.9
Bay,2221,96.4,2404,96.1,2255,97.4,2170,91.6,2003,88.1,2037,92,2104,93.5,1956,93.3,2005,93.4,2249,98.3
Bradford,311,96,334,97.7,314,96,310,91.7,346,95.3,326,98.5,345,99.1,288,96.6,344,99.1,356,99.4
Brevard,5597,95.7,5713,96.2,5790,95.1,6124,96.3,5772,95.7,5663,94.8,5861,95.9,5737,94.7,5968,97.4,6093,97.4
Broward,20230,94.2,19733,93.5,20062,93.6,19848,91.7,19478,92.9,19210,92.9,17794,91,15690,78.8,18519,90.9,19870,92.4
Calhoun,161,97,177,95.2,187,93.5,181,97.8,181,96.8,170,92.9,152,95,157,91.8,159,94.6,158,96.9
Charlotte,1045,94.7,1039,95.4,1147,93.9,1107,96.3,1148,96.8,1120,98.2,1057,97.3,1077,96.8,1183,98.7,1230,98.1
Citrus,1097,95,1098,95.8,1105,92.4,1120,91.3,1211,95.5,1041,96.1,1123,94.7,1142,94.9,1129,98.1,1226,98.3
Clay,2541,97.3,2448,96.1,2441,93.8,2423,90.7,2503,94.6,2491,95,2633,94.5,2646,95.1,2646,96.3,2715,95.4
Collier,3337,95,3334,95,3520,93.6,3517,94.9,3377,93.4,3309,94.4,3317,95.8,3423,93.6,3704,96,3496,92.2
Columbia,877,91.1,926,93.8,932,90.2,911,93.5,828,97,861,97.2,850,96.9,850,94.3,920,96.7,871,97.6
Miami-Dade,28047,92.5,28741,92.2,29367,92,28884,91.5,26966,88.9,22827,78.9,23832,82.4,23501,81.8,24484,90.8,26043,93.1
DeSoto,427,96,356,80.2,406,97.4,414,96.3,418,99.3,414,97.6,420,99.1,408,98.8,466,98.9,453,99.3
Dixie,182,97.8,226,97,196,99,204,90.3,191,98.5,175,97.2,199,93.9,176,98.9,188,96.9,202,95.3
Duval,10870,91.1,11276,90,11577,90.9,11953,92.8,11762,93.9,11532,95.8,11041,91.4,11492,93.8,11613,93.4,11590,93.5
Escambia,3842,95.6,3965,94.4,3992,94.7,4167,95.1,3944,93.6,3850,94.1,3670,93.6,3666,93.8,3724,94.9,3909,96.5
Flagler,891,94.4,891,93,882,91.3,837,79.4,927,97,896,97.4,852,88.5,859,84.9,917,89.4,872,91.4
Franklin,100,90.1,126,94,115,99.1,91,81.3,132,92.3,112,94.1,95,80.5,88,76.5,109,98.2,77,72.6
Gadsden,468,97.7,539,99.6,579,99.7,549,96.5,572,98.3,572,98.6,574,96,610,98.5,585,99,564,89
Gilchrist,226,94.2,231,95.5,212,95.9,215,95.6,187,94,190,82.3,192,97.5,196,90.7,224,97,248,96.1
Glades,153,96.2,138,97.9,159,100,172,99.4,167,99.4,138,98.6,158,97.5,125,98.4,153,98.1,118,100
Gulf,157,98.1,158,97.5,156,98.1,151,98.7,146,98.6,150,99.3,152,98.7,125,99.2,149,100,162,97.6
Hamilton,154,98.1,172,98.3,155,98.1,167,96.5,154,96.9,153,99.4,160,97.6,319,97.6,175,98.3,179,98.4
Hardee,431,99.3,450,98.7,482,99.2,473,99.2,424,97.7,445,98.7,435,97.1,479,96.6,409,92.5,479,99.4
Hendry,546,94.6,570,94.7,576,93.7,629,93.3,596,96.1,632,97.4,597,96,562,96.7,643,96.8,666,96.1
Hernando,1539,93.2,1616,91.8,1589,93.5,1721,93.9,1661,94.8,1643,95.2,1700,95,1474,86.7,1712,97.2,1806,98.7
Highlands,1043,97.3,1068,95.7,1135,96.6,1157,97.3,1025,96,1001,97,1016,96.9,993,96.3,1055,97.7,1077,97.8
Hillsborough,16172,91.9,16623,92,16958,92.2,16651,91.5,15198,89.7,14900,90.9,14668,90.5,14502,91.5,15592,95.6,15972,95.1
Holmes,269,97.5,278,99.3,276,96.8,294,98.7,282,98.6,306,98.7,288,99,281,98.9,295,99,274,98.9
Indian River,1271,93.7,1335,94,1299,93,1333,95.1,1323,91.1,1282,89.4,1297,92.2,1328,95.4,1260,91.4,1388,95.8
Jackson,549,97.9,564,98.3,582,94.3,591,99,601,95.5,607,97.9,625,97,638,97.9,628,99.2,590,98.2
Jefferson,79,96.3,94,97.9,116,98.3,79,64.8,87,100,104,100,120,100,120,94.5,107,98.2,134,89.3
Lafayette,93,97.9,125,98.4,103,97.2,93,98.9,100,99,119,97.5,98,97,97,95.1,112,98.2,116,97.5
Lake,3477,95,3390,93,3346,95.4,3349,95.5,3449,91.9,3351,94.3,3254,90.8,3331,92.9,3234,87.7,3212,90.4
Lee,6751,95.3,6665,95.4,7144,96,7188,95.7,6736,95.7,6509,95.4,6385,95.9,6689,96.3,7186,97,7262,96.6
Leon,2739,93.3,2883,95.6,2769,94.5,2826,91.9,2788,94,2778,95.2,2714,93.7,2844,95.1,2809,96.9,2893,96.3
Levy,465,93.4,446,93.3,461,94.7,551,97.7,511,97.1,505,97.1,928,98.1,474,97.3,500,98,495,98.2
Liberty,102,97.1,110,100,91,88.3,83,72.8,126,99.2,115,100,139,100,101,78.3,131,98.5,117,100
Madison,203,99,242,97.2,506,98.8,504,99,427,96,423,97.9,396,95.7,401,97.3,238,99.2,254,99.6
Manatee,3373,95.8,3601,95.9,3585,95.8,3478,90.6,3405,90.2,3364,91.8,3124,89.5,3051,86.3,3406,92,3451,91
Marion,3121,95.2,3283,95.5,3297,95.7,3270,95.8,3309,94.4,3299,95.4,3295,95.6,3140,94.6,3301,93.2,3508,95.5
Martin,1354,93,1340,90.1,1408,92,1403,92.5,1427,93.2,1399,93.6,1336,90.2,1305,93.7,1309,90.9,1438,93.6
Monroe,614,94.2,677,95.5,698,94.8,698,94.8,621,93.1,641,92.9,594,94.7,572,93.2,545,88.6,534,90.4
Nassau,838,95.3,851,96.6,871,92.5,718,80.6,787,89.9,851,94,841,91.5,799,91.6,832,94.3,820,94.8
Okaloosa,2448,95.8,2527,93,2369,87.3,2331,86.6,2357,90.6,2192,90.5,2186,91,2229,94.6,2324,95.6,2418,95.3
Okeechobee,516,98.1,512,96.6,503,95.8,544,92.4,550,93.2,559,89.9,487,83.2,513,96.4,553,98.2,622,98.7
Orange,14833,93.7,15433,94.6,15410,93.8,14746,92.4,14434,92.1,13778,92.8,13979,95.3,13635,92.9,12182,92,15019,95.4
Osceola,4187,93.8,4129,90.8,4058,90.3,3978,89.4,3977,93.7,3682,88.9,3579,88.7,3345,86.3,3641,90.3,3788,93.5
Palm Beach,13521,90.7,13431,89.4,14240,92.4,14549,92.1,13939,93.2,13203,90.8,13219,92.2,13012,91,13686,94.8,13980,93.9
Pasco,4857,95,4985,95.4,5155,95.8,4887,93.3,4709,93.5,4691,92.7,4672,92.1,4544,90.3,4672,92.3,4956,95.6
Pinellas,8068,94.5,7846,91.3,8073,90.4,8209,89.8,7868,90.3,7607,89.3,7866,90,7855,92.5,8208,93.4,8607,93.1
Polk,7887,96.3,7874,96.4,8182,96.2,8015,95.2,7823,97.3,7350,94.1,7228,92.9,7168,90.5,7729,92.1,8262,95.5
Putnam,831,96.2,908,96.4,995,95.9,956,88.8,877,89.9,963,93.3,960,90.4,1017,93.8,1008,94.7,1051,95.8
St. Johns,2494,93.1,1732,95,2332,90.3,1423,56.1,2216,93.3,2184,91.2,2157,93.3,2028,88.6,2108,94.4,2040,94.2
St. Lucie,2782,93.3,3033,92.4,3041,95.3,3062,93.9,2978,94.7,3051,93.6,2775,89,3051,94.6,3339,96.4,3265,94.4
Santa Rosa,1765,94.5,4786,92.2,1911,95.6,1738,88.8,1820,94.1,1734,95,1770,93.7,1656,94.6,1589,84.9,1799,95.2
Sarasota,2960,93.1,2460,92.3,3160,93.7,3105,94.2,3049,95,2947,95.3,3132,95.2,3177,94.7,3197,96.9,3212,96.1
Seminole,4771,93.4,2819,93.8,4859,92.4,5010,93.8,4727,92.5,4618,94.1,4784,93.9,4916,94,4930,96,5286,97
Sumter,600,98,675,95.3,699,96.8,685,97.2,644,98,628,98.1,589,87.5,484,75.9,567,90.1,564,95.4
Suwannee,491,97.4,515,97.4,474,95.4,508,96.8,483,95.5,510,98.5,452,89.3,490,94.8,515,97.7,557,99.3
Taylor,258,95.9,291,98.6,272,93.5,284,97.6,246,96.5,239,98,242,98.4,243,98.4,306,98.4,296,100
Union,194,98,177,92.7,221,97.8,210,97.7,175,94.1,165,85.9,181,97.3,182,92.4,190,97.9,198,98.5
Volusia,4776,94.3,4931,94.5,4848,92.3,4784,91.3,4638,92.7,4658,95.6,4708,94.3,4171,82.7,4623,93.9,5027,94.8
Wakulla,359,98.1,416,96.3,396,93.2,352,87.8,426,97.7,434,98.4,467,97.5,438,97.3,381,96.5,448,96.3
Walton,694,94.6,709,97.3,759,96.8,698,94.6,643,95.5,609,97.9,603,93.6,472,83.4,573,93.9,584,97.5
Washington,266,98.9,268,98.5,296,98.7,505,90,276,95.2,300,98,572,99.1,572,99,282,98.3,288,99
